x,y,z,Spindle power/W,Cutting power/W
115.151,168.246,26.503,301.464864,182.519568
114.626,169.114,26.476,301.464864,182.519568
114.626,169.114,26.476,293.261712,174.316416
114.22,170.129,26.447,293.261712,174.316416
114.22,170.129,26.447,290.625024,171.679728
114,171.122,26.421,290.625024,171.679728
114,171.122,26.421,290.917968,171.972672
114.014,172.224,26.392,290.917968,171.972672
114.014,172.224,26.392,290.917968,171.972672
114.255,173.214,26.365,290.917968,171.972672
114.255,173.214,26.365,291.796896,172.8516
114.697,174.215,26.336,291.796896,172.8516
114.697,174.215,26.336,279.1992,160.253904
115.254,175.059,26.31,279.1992,160.253904
115.254,175.059,26.31,283.886736,164.94144
116.03,175.845,26.281,283.886736,164.94144
116.03,175.845,26.281,285.644544,166.699248
116.9,176.37,26.254,285.644544,166.699248
116.9,176.37,26.254,279.492192,160.546896
117.917,176.774,26.225,279.492192,160.546896
117.917,176.774,26.225,290.332032,171.386736
118.908,176.989,26.198,290.332032,171.386736
118.908,176.989,26.198,284.17968,165.234384
120.011,176.973,26.169,284.17968,165.234384
120.011,176.973,26.169,288.281232,169.335936
120.997,176.739,26.143,288.281232,169.335936
120.997,176.739,26.143,287.10936,168.164064
122.012,176.327,26.114,287.10936,168.164064
122.012,176.327,26.114,283.593744,164.648448
122.845,175.751,26.087,283.593744,164.648448
122.845,175.751,26.087,287.988288,169.042992
123.638,174.984,26.058,287.988288,169.042992
123.638,174.984,26.058,303.808608,184.863312
124.166,174.114,26.032,303.808608,184.863312
124.166,174.114,26.032,298.828128,179.882832
124.569,173.096,26.003,298.828128,179.882832
124.569,173.096,26.003,296.777328,177.832032
124.781,172.106,25.976,296.777328,177.832032
124.781,172.106,25.976,303.222672,184.277376
124.781,171.003,25.947,303.222672,184.277376
124.781,171.003,25.947,320.214864,201.269568
124.545,170.016,25.921,320.214864,201.269568
124.545,170.016,25.921,310.83984,191.894544
124.119,169.008,25.892,310.83984,191.894544
124.119,169.008,25.892,297.363264,178.417968
123.577,168.149,25.864,297.363264,178.417968
123.577,168.149,25.864,312.011712,193.066416
122.78,167.386,25.836,312.011712,193.066416
122.78,167.386,25.836,320.214864,201.269568
121.934,166.827,25.809,320.214864,201.269568
121.934,166.827,25.809,312.304704,193.359408
120.91,166.435,25.78,312.304704,193.359408
120.91,166.435,25.78,322.558608,203.613312
119.921,166.226,25.754,322.558608,203.613312
119.921,166.226,25.754,312.89064,193.945344
118.817,166.211,25.725,312.89064,193.945344
118.817,166.211,25.725,315.527328,196.582032
117.829,166.449,25.698,315.527328,196.582032
117.829,166.449,25.698,325.781232,206.835936
116.821,166.876,25.669,325.781232,206.835936
116.821,166.876,25.669,303.515616,184.57032
115.965,167.419,25.643,303.515616,184.57032
115.965,167.419,25.643,313.183584,194.238288
115.191,168.205,25.614,313.183584,194.238288
115.191,168.205,25.614,323.144544,204.199248
114.653,169.064,25.587,323.144544,204.199248
114.653,169.064,25.587,308.78904,189.843744
114.234,170.075,25.558,308.78904,189.843744
114.234,170.075,25.558,311.718768,192.773472
114.002,171.066,25.531,311.718768,192.773472
114.002,171.066,25.531,308.78904,189.843744
114.006,172.168,25.502,308.78904,189.843744
114.006,172.168,25.502,312.89064,193.945344
114.242,173.159,25.475,312.89064,193.945344
114.242,173.159,25.475,305.85936,186.914064
114.67,174.166,25.447,305.85936,186.914064
114.67,174.166,25.447,304.394544,185.449248
115.215,175.019,25.42,304.394544,185.449248
115.215,175.019,25.42,307.91016,188.964864
115.99,175.805,25.391,307.91016,188.964864
115.99,175.805,25.391,310.253904,191.308608
116.851,176.341,25.365,310.253904,191.308608
116.851,176.341,25.365,306.738288,187.792992
117.862,176.76,25.336,306.738288,187.792992
117.862,176.76,25.336,307.031232,188.085936
118.851,176.99,25.309,307.031232,188.085936
118.851,176.99,25.309,299.414064,180.468768
119.955,176.974,25.281,299.414064,180.468768
119.955,176.974,25.281,306.738288,187.792992
120.943,176.755,25.254,306.738288,187.792992
120.943,176.755,25.254,299.121072,180.175776
121.963,176.355,25.225,299.121072,180.175776
121.963,176.355,25.225,292.08984,173.144544
122.804,175.79,25.198,292.08984,173.144544
122.804,175.79,25.198,300.585936,181.64064
123.601,175.026,25.169,300.585936,181.64064
123.601,175.026,25.169,301.757808,182.812512
124.137,174.162,25.142,301.757808,182.812512
124.137,174.162,25.142,288.281232,169.335936
124.554,173.151,25.113,288.281232,169.335936
124.554,173.151,25.113,291.21096,172.265664
124.781,172.163,25.087,291.21096,172.265664
124.781,172.163,25.087,285.644544,166.699248
124.781,171.059,25.058,285.644544,166.699248
124.781,171.059,25.058,298.828128,179.882832
124.56,170.07,25.031,298.828128,179.882832
124.56,170.07,25.031,292.08984,173.144544
124.148,169.057,25.003,292.08984,173.144544
124.148,169.057,25.003,285.937488,166.992192
123.615,168.19,24.976,285.937488,166.992192
123.615,168.19,24.976,294.726576,175.78128
122.82,167.425,24.946,294.726576,175.78128
122.82,167.425,24.946,303.808608,184.863312
121.983,166.856,24.92,303.808608,184.863312
121.983,166.856,24.92,291.503904,172.558608
120.964,166.451,24.891,291.503904,172.558608
120.964,166.451,24.891,295.312512,176.367216
119.977,166.227,24.864,295.312512,176.367216
119.977,166.227,24.864,297.656256,178.71096
118.873,166.211,24.835,297.656256,178.71096
118.873,166.211,24.835,303.808608,184.863312
117.883,166.435,24.809,303.808608,184.863312
117.883,166.435,24.809,294.726576,175.78128
116.87,166.847,24.78,294.726576,175.78128
116.87,166.847,24.78,285.644544,166.699248
116.005,167.379,24.753,285.644544,166.699248
116.005,167.379,24.753,299.414064,180.468768
115.23,168.165,24.724,299.414064,180.468768
115.23,168.165,24.724,287.402352,168.457056
114.681,169.015,24.698,287.402352,168.457056
114.681,169.015,24.698,291.21096,172.265664
114.247,170.02,24.669,291.21096,172.265664
114.247,170.02,24.669,301.171872,182.226576
114.009,171.01,24.642,301.171872,182.226576
114.009,171.01,24.642,292.08984,173.144544
114.001,172.112,24.613,292.08984,173.144544
114.001,172.112,24.613,303.222672,184.277376
114.228,173.104,24.586,303.222672,184.277376
114.228,173.104,24.586,290.625024,171.679728
114.642,174.116,24.557,290.625024,171.679728
114.642,174.116,24.557,299.121072,180.175776
115.175,174.979,24.531,299.121072,180.175776
115.175,174.979,24.531,304.98048,186.035184
115.95,175.765,24.502,304.98048,186.035184
115.95,175.765,24.502,300.878928,181.933632
116.802,176.313,24.475,300.878928,181.933632
116.802,176.313,24.475,310.83984,191.894544
117.807,176.745,24.446,310.83984,191.894544
117.807,176.745,24.446,310.546896,191.6016
118.795,176.988,24.42,310.546896,191.6016
118.795,176.988,24.42,311.718768,192.773472
119.898,176.974,24.391,311.718768,192.773472
119.898,176.974,24.391,322.851552,203.906256
120.888,176.771,24.365,322.851552,203.906256
120.888,176.771,24.365,308.203104,189.257808
121.914,176.383,24.336,308.203104,189.257808
121.914,176.383,24.336,306.152352,187.207056
122.763,175.829,24.309,306.152352,187.207056
122.763,175.829,24.309,318.75,199.804704
123.561,175.066,24.28,318.75,199.804704
123.561,175.066,24.28,309.96096,191.015664
124.108,174.211,24.253,309.96096,191.015664
124.108,174.211,24.253,314.062512,195.117216
124.539,173.205,24.224,314.062512,195.117216
124.539,173.205,24.224,318.164064,199.218768
124.781,172.219,24.197,318.164064,199.218768
124.781,172.219,24.197,304.687488,185.742192
124.781,171.116,24.168,304.687488,185.742192
124.781,171.116,24.168,302.92968,183.984384
124.575,170.125,24.142,302.92968,183.984384
124.575,170.125,24.142,312.89064,193.945344
124.177,169.105,24.113,312.89064,193.945344
124.177,169.105,24.113,300.878928,181.933632
123.651,168.233,24.086,300.878928,181.933632
123.651,168.233,24.086,300.585936,181.64064
122.861,167.464,24.058,300.585936,181.64064
